"","link","author","Auteur","source"
"106","https://catalogue.bnf.fr/ark:/12148/cb30263667m","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"107","https://catalogue.bnf.fr/ark:/12148/cb30263797t","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"108","https://catalogue.bnf.fr/ark:/12148/cb31963182g","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"109","https://catalogue.bnf.fr/ark:/12148/cb302637923","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"110","https://catalogue.bnf.fr/ark:/12148/cb302637447","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"111","https://catalogue.bnf.fr/ark:/12148/cb30263766j","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"112","https://catalogue.bnf.fr/ark:/12148/cb302637536","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"113","https://catalogue.bnf.fr/ark:/12148/cb302636877","Condorcet","Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794). Auteur du texte","bnf"
"114","https://catalogue.bnf.fr/ark:/12148/cb328896115","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","bnf"
"115","https://catalogue.bnf.fr/ark:/12148/cb335964618","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","bnf"
"116","https://catalogue.bnf.fr/ark:/12148/cb30333301d","Desmoulins","Desmoulins, Camille (1760-1794). Auteur du texte","bnf"
"117","https://catalogue.bnf.fr/ark:/12148/cb305269415","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","bnf"
"118","https://catalogue.bnf.fr/ark:/12148/cb305269535","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","bnf"
"119","https://catalogue.bnf.fr/ark:/12148/cb30526940t","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","bnf"
"120","https://catalogue.bnf.fr/ark:/12148/cb33453467m","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","bnf"
"121","https://catalogue.bnf.fr/ark:/12148/cb30526961s","Olympe de Gouges","Gouges, Olympe de (1748-1793). Auteur du texte","bnf"
